ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type
36812505,616 Trailmobile Trail SW  Wyoming MI,Freightliner- GR,42.86949,-85.67844,75,,,Normal Geofence
36812506,15901 ELEVEN MILE ROAD  BATTLE CREEK MI 49014,Gas 17,42.302591,-85.082553,75,,,Normal Geofence
36812507,789 AMBOY AVENUE  EDISON NJ 8837,Gas 83446,40.53094,-74.32557,75,,,Normal Geofence
36812508,8603 Holland Rd  Taylor MI 48180,Taylor Recycle $,42.244286,-83.297823,75,,,Normal Geofence
36812509,125 Depot St  Constantine MI 49042,Michigan Milk Producers,41.843385,-85.664438,75,,,Normal Geofence
36812510,635 W MAIN ST  ALGOOD TN 38506,Gas 87137,36.182955,-85.459834,75,,,Normal Geofence
36812511,1576 London-Groveport Rd  Lockbourne OH 43137,Faro Services,39.831336,-82.955119,75,,,Normal Geofence
36812512,370 Lake Rd  Medina OH 44256,Medina Paper,41.13339,-81.893739,75,,,Normal Geofence
36812513,36 haverhill rd Amesbury MA 01913,Gas 23,42.883065,-85.07367,75,,,Normal Geofence
36812514,950 STATE ROAD 206 WEST  ST. AUGUSTINE FL 32086,Gas 626,29.74948,-81.344584,75,,,Normal Geofence
36812515,520 TVA RD  JASPER TN 37347,Gas 87177,35.033454,-85.583117,75,,,Normal Geofence
36812516,1535 Exeter Rd  Akron OH 44306,Waste Management,41.032304,-81.473209,75,,,Normal Geofence
36812517,390 N Industrial Dr  Morgantown KY 42261,Janesville (Corvac),37.220142,-86.710445,75,,,Normal Geofence
36812518,55 Cottage Grove St SW  Seca MI 49507,Vi-Chem,42.936113,-85.669333,75,,,Normal Geofence
36812519,1460 Cargo Ct  Minooka IL 60447,Kellogg - Cargo Ct.,41.446715,-88.299268,75,,,Normal Geofence
36812520,821 TYSON RD  HOPE HULL AL 36043,Gas 81012,32.196192,-86.414267,75,,,Normal Geofence
36812521,700 Eden Rd  Mason MI 48854,Michigan Packaging,42.560355,-84.43072,75,,,Normal Geofence
36812522,5742 STATE ROUTE 8  HARRISVILLE PA 16038,Gas 82921,41.202872,-79.975571,75,,,Normal Geofence
36812523,880 NORTH ROCKY RIVER DRI VE BEREA OH 44017,Gas 88133,41.389165,-81.851976,75,,,Normal Geofence
36812524,50 ANGELINA AVE  MCKEES ROCKS PA 15136,Gas 86721,40.472446,-80.060937,75,,,Normal Geofence
36812525,6193 SOUTH STATE ROAD 109  KNIGHTSTOWN IN 46148,Gas 88061,39.84173,-85.559929,75,,,Normal Geofence
36812526,9100 67th St  Hodgkins IL 60525,CMP TARA INTERNATIONAL,41.76809,-87.855745,75,,,Normal Geofence
